類別,雜訊字詞,出現次數
2_分區,屏東市,30
2_分區,新竹廠,30
2_分區,北門,30
2_分區,六甲,29
2_分區,晚班門市,29
2_分區,前金區,29
2_分區,新興區,28
2_分區,苓雅,28
2_分區,潭子區,28
2_分區,大甲區,28
2_分區,清水區,28
2_分區,斗六廠,27
2_分區,楊梅廠,27
2_分區,太保,27
2_分區,恆春,27
2_分區,業務｜健身工廠,27
2_分區,中壢廠,26
2_分區,大園廠,26
2_分區,西螺,26
2_分區,_知名電腦大廠,25
2_分區,新化,24
2_分區,八里區,24
2_分區,000#另有門市,24
2_分區,❤蝦皮店到店門市,24
2_分區,神岡,23
2_分區,沙鹿區,23
2_分區,早班門市,22
2_分區,員林市,22
2_分區,新豐廠,22
2_分區,大溪區,21
2_分區,二廠,21
2_分區,新營區,21
2_分區,新社區,21
2_分區,嘉義廠,20
2_分區,后里區,20
2_分區,歸仁區,20
2_分區,台南廠,20
2_分區,通霄,20
2_分區,竹東區,20
2_分區,瑞芳,20
2_分區,安定,19
2_分區,泰國廠,19
2_分區,01店,19
2_分區,_電腦週邊大廠,19
2_分區,林園,18
2_分區,台中分公司,18
2_分區,大社區,17
2_分區,前金,17
2_分區,深坑區,17
2_分區,田中,17
2_分區,A8店,17
2_分區,南投廠,17
2_分區,屏東廠,17
2_分區,新豐鄉,17
2_分區,大台中,17
2_分區,高雄分公司,16
2_分區,竹北區,16
2_分區,鳥松,16
2_分區,k店,16
2_分區,鳥松區,16
2_分區,關廟,16
2_分區,頭份市,16
2_分區,橋頭區,16
2_分區,新化區,16
2_分區,新屋區,16
2_分區,佳里區,15
2_分區,a店,15
2_分區,大溪廠,15
2_分區,歐都納門市,15
2_分區,oCo都可】門市,15
2_分區,阿蓮,14
2_分區,路竹廠,14
2_分區,中央工廠,14
2_分區,C廠,14
2_分區,美濃,14
2_分區,霧峰區,13
2_分區,鹽埕,13
2_分區,o店,13
2_分區,梓官,13
2_分區,瑞芳區,13
2_分區,知名PCB大廠,13
2_分區,美商半導體大廠,13
2_分區,電子零組件大廠,13
2_分區,0以上#另有門市,13
2_分區,_食品加工大廠,13
2_分區,北門市,12
2_分區,麻豆區,12
2_分區,燕巢廠,12
2_分區,斗六市,12
2_分區,安定區,12
2_分區,大樹區,12
2_分區,湖內區,12
2_分區,桃園大園廠,12
2_分區,七股,12
2_分區,三芝區,12
2_分區,神岡區,12
2_分區,鹿港廠,11
2_分區,T店,11
2_分區,A9店,11
2_分區,冷氣廠,11
2_分區,統一超商門市,11
2_分區,超商門市,11
2_分區,三芝,11
2_分區,岡山廠,11
2_分區,#另有門市,11
2_分區,彰濱廠,11
2_分區,新竹分公司,11
2_分區,2館,11
2_分區,蘆二廠,11
2_分區,中鋼駐廠,11
2_分區,7-11門市,10
2_分區,中和廠,10
2_分區,竹北廠,10
2_分區,湖口鄉,10
2_分區,_醫療器材大廠,10
2_分區,湖口廠,10
2_分區,湖口區,10
2_分區,竹南鎮,10
2_分區,林園區,10
2_分區,燕巢區,10
2_分區,1館,10
2_分區,台北分公司,10
2_分區,外埔,10
2_分區,台南分公司,10
2_分區,學園區)#新廠,10
2_分區,觀音廠,10
2_分區,新豐工廠,10
2_分區,A8館,10
2_分區,平鎮廠,10
2_分區,接待｜健身工廠,10
2_分區,S1廠,10
2_分區,S3廠,10
2_分區,湖內,9
2_分區,食品廠,9
2_分區,一超商-壯圍門市,9
2_分區,新營廠,9
2_分區,雲林斗六廠,9
2_分區,柳營區,9
2_分區,後壁,9
2_分區,A店,9
2_分區,大夜班門市,9
2_分區,GAP兼職門市,9
2_分區,越南廠,9
2_分區,鹽水,9
2_分區,管_半導體大廠,9
2_分區,合江廠,9
2_分區,阿蓮區,9
2_分區,職🍤蝦皮智取門市,9
2_分區,光復新廠,9
2_分區,台積電廠,9
2_分區,EXUS服務廠,9
2_分區,膜/3C產品門市,8
2_分區,FT門市,8
2_分區,頭份廠,8
2_分區,K店,8
2_分區,觀光工廠,8
2_分區,彰化廠,8
2_分區,自行車零件大廠,8
2_分區,一超商-冬山門市,8
2_分區,一超商-壯志門市,8
2_分區,擴廠,8
2_分區,南崁廠,8
2_分區,彰化分公司,8
2_分區,_知名光電大廠,8
2_分區,潮州鎮,8
2_分區,臨海廠,8
2_分區,竹東鎮,8
2_分區,關廟區,8
2_分區,_知名氣體大廠,8
2_分區,斗六區,8
2_分區,深坑,8
2_分區,五股廠,8
2_分區,7-11愿景門市,8
2_分區,新廠,8
2_分區,鹽水區,8
2_分區,S店,8
2_分區,鹽埕區,8
2_分區,職人員★歡迎門市,8
2_分區,幼獅廠,8
2_分區,M店,8
2_分區,記憶體模組大廠,8
2_分區,內湖廠,8
2_分區,_汽車零件大廠,8
2_分區,S2廠,8
2_分區,萬~70萬】門市,8
2_分區,A館,8
2_分區,及雙北13間門市,8
2_分區,情，全省實體門市,8
2_分區,le授權經銷門市,7
2_分區,二林廠,7
2_分區,店_兼職早班門市,7
2_分區,夜班門市,7
2_分區,/五股廠,7
2_分區,竹南廠,7
2_分區,蛋品廠,7
2_分區,小港廠,7
2_分區,飼料廠,7
2_分區,官田廠,7
2_分區,GAP全職門市,7
2_分區,彌陀,7
2_分區,將軍區,7
2_分區,和美鎮,7
2_分區,-台哥大電信門市,7
2_分區,汐止廠,7
2_分區,管_PCB大廠,7
2_分區,餐飲門市,7
2_分區,桃園觀音廠,7
2_分區,新社,7
2_分區,煮丹】茶飲_門市,7
2_分區,桃園分公司,7
2_分區,_工業電腦大廠,7
2_分區,_金屬製造大廠,7
2_分區,新市鎮,7
2_分區,名PCB製造廠,7
2_分區,_車用電子大廠,7
2_分區,新埔廠,7
2_分區,屏東分公司,7
2_分區,名汽車零件大廠,7
2_分區,級廢棄物處理廠,7
2_分區,土城廠,7
2_分區,苗栗廠,7
2_分區,楠梓廠,7
2_分區,加工區)科技廠,7
2_分區,龜山科技新廠,7
2_分區,兼職門市,6
2_分區,徵門市,6
2_分區,花蓮廠,6
2_分區,全家超商門市,6
2_分區,台正職人員及門市,6
2_分區,將軍,6
2_分區,】門市,6
2_分區,太平廠,6
2_分區,全家便利商店門市,6
2_分區,員林廠,6
2_分區,中壢營業所,6
2_分區,洗衣廠,6
2_分區,學甲,6
2_分區,旗山區,6
2_分區,新北服務處,6
2_分區,西港,6
2_分區,務人員/百貨門市,6
2_分區,{高雄工廠,6
2_分區,後龍,6
2_分區,_知名汽車大廠,6
2_分區,中班門市,6
2_分區,n-Dazs門市,6
2_分區,旗津,6
2_分區,2H)-龍潭廠,6
2_分區,前金分公司,6
